,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,latitude,longitude,image_date
SE-Htm,275.88624572753906,274.4252014160156,273.0757751464844,275.8465118408203,281.1412048339844,0.2567138671875,0.2558441162109375,0.2796173095703125,0.24346923828125,56.09763,13.41897,2015-01-01
SE-Nor,277.2240600585937,277.0753326416016,276.88865661621094,277.5835876464844,279.4438018798828,0.267578125,0.2774658203125,0.277130126953125,0.2442474365234375,60.0865,17.479504,2014-01-01
SE-Svb,272.3275756835937,272.2706451416016,272.64842224121094,273.6890563964844,276.0609893798828,0.2661590576171875,0.275665283203125,0.2794189453125,0.256439208984375,64.25611,19.7745,2014-01-01
SE-Ros,272.4974975585937,272.0733795166016,272.59568786621094,273.6988220214844,276.1098175048828,0.2725982666015625,0.277984619140625,0.2838897705078125,0.257080078125,64.1725,19.738,2014-01-01
CH-Dav,266.8116760253906,272.8829803466797,273.0995635986328,273.8175811767578,274.763671875,0.4403839111328125,0.4424591064453125,0.436798095703125,0.4871826171875,46.81533,9.85591,2003-01-01
BE-Dor,272.69195556640625,275.1280822753906,275.3884582519531,276.47483825683594,280.2598571777344,0.3814239501953125,0.38653564453125,0.390533447265625,0.3689422607421875,50.311874,4.968113,2011-01-01
DE-Gri,271.20140075683594,272.708740234375,273.5124969482422,275.5468292236328,280.3253326416016,0.3587799072265625,0.3642730712890625,0.3534393310546875,0.331146240234375,50.95004,13.51259,2004-01-01
DE-RuR,273.07281494140625,273.1886291503906,273.4021301269531,274.93772888183594,279.4610290527344,0.3580474853515625,0.364044189453125,0.3886260986328125,0.3843841552734375,50.621914,6.304126,2011-01-01
IT-MBo,267.0831604003906,272.7071990966797,273.0233917236328,274.5988311767578,279.134765625,0.4024810791015625,0.4007720947265625,0.35003662109375,0.4101409912109375,46.01468,11.045831,2003-01-01
IT-Tor,251.7092742919922,272.4001007080078,272.8941345214844,274.1380920410156,277.2287139892578,0.43096923828125,0.4330291748046875,0.4331512451171875,0.4639129638671875,45.84444,7.578055,2008-01-01
CH-Aws,258.1902160644531,271.4022521972656,271.64927673339844,272.8645477294922,274.9387969970703,0.442047119140625,0.441864013671875,0.4363861083984375,0.48095703125,46.583194,9.790417,2006-01-01
CH-Cha,271.88926696777344,273.1577453613281,273.44850158691406,274.93641662597656,279.18263244628906,0.3755035400390625,0.38458251953125,0.394012451171875,0.39788818359375,47.210222,8.410444,2005-01-01
CH-Fru,270.58653259277344,273.0659484863281,273.33912658691406,274.77821350097656,279.00880432128906,0.3671722412109375,0.37457275390625,0.3836212158203125,0.40045166015625,47.115833,8.537778,2005-01-01
BE-Vie,273.0909729003906,275.4044647216797,277.4315948486328,279.3781280517578,280.86328125,0.393310546875,0.393829345703125,0.4279937744140625,0.4094696044921875,50.304962,5.998099,2003-01-01
IT-Cp2,,,,,,,,,,41.704266,12.357293,2012-01-01
IT-Lsn,270.9725799560547,274.6225280761719,277.3153533935547,280.9444885253906,285.9038543701172,0.32611083984375,0.3339385986328125,0.35552978515625,0.3724517822265625,45.740482,12.750297,2016-01-01
