Column1,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
"'2015-02-05T02:00:00',",268.853,"101,996.60",0,"1,678,329.69",269.824,0,0.288,-1.662
"'2015-02-05T03:00:00',",268.834,"101,982.05",0,"2,540,334.81",269.789,0,0.215,-1.696
"'2015-02-05T04:00:00',",268.932,"101,981.82",0,"3,423,023",269.888,0,0.105,-1.675
"'2015-02-05T05:00:00',",269.171,"101,996.38",0,"4,335,076.50",270.12,0,-0.138,-1.608
"'2015-02-05T06:00:00',",268.947,"102,012.93",0,"5,201,844",269.906,0,-0.366,-1.742
"'2015-02-05T07:00:00',",268.626,"102,099.88",0,"6,025,705",269.652,0,-1.036,-1.653
"'2015-02-05T08:00:00',",268.964,"102,190.93","64,554","6,850,143",269.99,0,-1.241,-1.703
"'2015-02-05T09:00:00',",269.849,"102,253.65","443,338","7,679,795",271.029,0,-1.719,-1.822
"'2015-02-20T06:00:00',",275.729,"101,081.75",0,"6,751,269",276.742,0.003,2.509,5.371
"'2015-02-20T07:00:00',",276.557,"101,038.96",674,"7,929,347",277.879,0.003,2.701,5.246
"'2015-02-20T08:00:00',",276.887,"101,014.35","39,592","9,121,832",278.15,0.004,2.831,5.08
"'2015-02-20T09:00:00',",277.001,"100,977.39","125,036","10,317,588",278.358,0.004,2.685,4.89
"'2015-02-20T10:00:00',",277.36,"100,924.34","318,718","11,517,265",278.769,0.004,2.584,4.664
"'2015-02-20T11:00:00',",277.684,"100,846.52","532,944","12,721,750",279.036,0.004,2.177,4.544
"'2015-02-20T12:00:00',",278.119,"100,761.91","782,236","13,934,635",279.196,0.004,1.865,4.604
"'2015-02-20T13:00:00',",278.208,"100,638.27","978,008","15,152,821",279.238,0.004,1.707,4.54
"'2015-02-20T14:00:00',",278.212,"100,532.59","1,121,498","16,368,159",279.207,0.005,1.489,4.31
"'2015-02-20T15:00:00',",278.207,"100,426.19","1,197,508","17,586,117",279.144,0.006,1.136,4.353
"'2015-02-20T16:00:00',",278.235,"100,306.30","1,238,558","18,802,960",279.135,0.007,1.278,4.726
